,Id,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,Outcome,CallStart,CallEnd,CarInsurance,CallDuration,CallHourStart,CallMinStart
2243,2244,58,management,married,tertiary,0,1016,0,0,telephone,11,mar,2,91,1,failure,2021-12-04 12:24:51,2021-12-04 12:26:09,0,78.0,12,24
3329,3330,32,admin.,divorced,secondary,0,2017,0,1,cellular,17,jul,1,-1,0,,2021-12-04 14:23:10,2021-12-04 14:34:36,0,686.0,14,23
3295,3296,55,blue-collar,married,secondary,0,2854,1,0,cellular,7,may,1,-1,0,,2021-12-04 14:32:17,2021-12-04 14:37:29,0,312.0,14,32
2951,2952,44,entrepreneur,married,secondary,0,860,1,1,cellular,6,may,2,295,5,failure,2021-12-04 15:14:36,2021-12-04 15:16:12,0,96.0,15,14
144,145,62,entrepreneur,married,secondary,0,3904,0,0,telephone,29,jan,2,-1,0,,2021-12-04 15:27:45,2021-12-04 15:34:28,1,403.0,15,27
886,887,56,technician,married,tertiary,0,3082,1,1,,30,jun,3,-1,0,,2021-12-04 13:57:37,2021-12-04 14:05:01,0,444.0,13,57
2107,2108,37,management,married,tertiary,0,8564,1,0,cellular,5,may,2,347,1,failure,2021-12-04 15:26:06,2021-12-04 15:29:37,0,211.0,15,26
3517,3518,31,management,married,tertiary,0,22546,1,0,cellular,20,aug,4,-1,0,,2021-12-04 16:52:17,2021-12-04 16:53:45,0,88.0,16,52
1100,1101,41,management,divorced,tertiary,0,846,0,1,cellular,23,jul,3,-1,0,,2021-12-04 09:10:17,2021-12-04 09:13:43,0,206.0,9,10
1048,1049,27,management,married,tertiary,0,802,0,0,cellular,22,sep,1,-1,0,,2021-12-04 09:42:13,2021-12-04 09:51:42,1,569.0,9,42
2258,2259,33,blue-collar,single,secondary,0,476,1,1,cellular,17,apr,3,333,2,failure,2021-12-04 17:42:50,2021-12-04 17:51:54,0,544.0,17,42
3836,3837,51,blue-collar,married,secondary,0,502,0,0,,6,jun,2,-1,0,,2021-12-04 15:23:53,2021-12-04 15:25:26,0,93.0,15,23
582,583,30,management,married,tertiary,0,107,1,1,cellular,18,jul,1,-1,0,,2021-12-04 17:54:18,2021-12-04 17:58:41,0,263.0,17,54
3566,3567,37,blue-collar,married,secondary,0,5334,0,0,,6,jun,1,-1,0,,2021-12-04 17:36:53,2021-12-04 17:37:51,0,58.00000000000001,17,36
3173,3174,60,technician,married,secondary,0,10925,0,0,cellular,23,oct,3,185,1,success,2021-12-04 12:53:14,2021-12-04 12:57:44,1,270.0,12,53
3437,3438,43,services,married,secondary,0,774,0,0,cellular,25,mar,1,421,1,success,2021-12-04 12:37:13,2021-12-04 12:38:54,1,101.0,12,37
2968,2969,33,self-employed,married,tertiary,0,1278,0,0,cellular,6,oct,1,-1,0,,2021-12-04 17:10:46,2021-12-04 17:21:35,1,649.0,17,10
2170,2171,60,management,married,tertiary,0,2281,0,0,cellular,5,feb,2,-1,0,,2021-12-04 12:42:26,2021-12-04 12:46:16,1,230.00000000000003,12,42
577,578,54,management,married,tertiary,0,534,0,0,cellular,1,jun,2,-1,0,,2021-12-04 10:38:09,2021-12-04 10:41:06,1,177.0,10,38
593,594,27,technician,married,secondary,0,512,1,0,,19,may,1,-1,0,,2021-12-04 11:35:12,2021-12-04 11:37:20,0,128.0,11,35
2527,2528,43,technician,divorced,secondary,0,353,1,0,,23,may,1,-1,0,,2021-12-04 13:26:23,2021-12-04 13:28:56,0,153.0,13,26
826,827,39,services,married,secondary,0,117,1,0,cellular,18,may,2,-1,0,,2021-12-04 17:09:47,2021-12-04 17:26:59,1,1032.0,17,9
1509,1510,47,management,married,tertiary,0,0,1,0,cellular,4,sep,3,-1,0,,2021-12-04 16:16:01,2021-12-04 16:17:06,0,65.0,16,16
3445,3446,37,blue-collar,married,secondary,0,982,1,0,cellular,9,jul,2,-1,0,,2021-12-04 13:23:29,2021-12-04 13:27:20,0,231.00000000000003,13,23
670,671,43,blue-collar,married,secondary,0,171,1,0,cellular,13,may,1,364,1,failure,2021-12-04 15:48:33,2021-12-04 15:50:09,0,96.0,15,48
812,813,32,management,married,tertiary,0,905,0,0,cellular,12,feb,4,-1,0,,2021-12-04 10:19:34,2021-12-04 10:30:40,1,666.0,10,19
2417,2418,30,blue-collar,married,secondary,0,2,1,1,cellular,17,apr,2,326,1,failure,2021-12-04 16:40:01,2021-12-04 16:44:52,0,291.0,16,40
3891,3892,30,technician,single,secondary,0,958,0,0,cellular,8,aug,2,-1,0,,2021-12-04 13:40:37,2021-12-04 13:42:29,0,112.0,13,40
1053,1054,32,technician,single,secondary,0,3297,0,0,cellular,11,aug,2,-1,0,,2021-12-04 13:54:13,2021-12-04 13:55:52,0,99.0,13,54
3061,3062,21,student,single,,0,53,0,0,cellular,14,jun,1,-1,0,,2021-12-04 09:36:47,2021-12-04 09:41:17,1,270.0,9,36
2023,2024,33,services,single,tertiary,0,395,1,0,cellular,23,jul,6,-1,0,,2021-12-04 09:36:33,2021-12-04 09:59:12,1,1359.0,9,36
2416,2417,22,student,single,secondary,0,552,0,0,cellular,1,sep,1,-1,0,,2021-12-04 12:35:09,2021-12-04 12:40:36,1,327.0,12,35
847,848,30,management,single,tertiary,0,697,0,0,cellular,28,apr,2,181,8,success,2021-12-04 10:56:54,2021-12-04 11:05:59,1,545.0,10,56
2303,2304,30,management,single,tertiary,0,685,0,0,cellular,5,aug,2,-1,0,,2021-12-04 14:19:28,2021-12-04 14:24:27,0,299.0,14,19
3514,3515,34,technician,single,tertiary,0,992,1,0,cellular,5,feb,2,-1,0,,2021-12-04 12:08:55,2021-12-04 12:10:06,1,71.0,12,8
2343,2344,58,blue-collar,married,secondary,0,590,0,1,cellular,19,nov,1,167,1,failure,2021-12-04 13:16:35,2021-12-04 13:18:51,0,136.0,13,16
3778,3779,33,management,divorced,tertiary,0,-255,1,1,cellular,11,may,9,306,1,other,2021-12-04 15:02:59,2021-12-04 15:04:21,0,82.0,15,2
261,262,48,technician,married,secondary,0,480,0,1,cellular,23,jul,1,-1,0,,2021-12-04 09:50:56,2021-12-04 09:57:07,0,371.0,9,50
3742,3743,36,retired,single,secondary,0,101,1,1,,26,may,1,-1,0,,2021-12-04 09:25:51,2021-12-04 09:31:05,0,314.0,9,25
2678,2679,33,admin.,married,tertiary,0,882,0,0,cellular,22,apr,1,183,4,failure,2021-12-04 10:18:25,2021-12-04 10:20:09,1,104.0,10,18
1844,1845,51,blue-collar,married,primary,0,1194,1,0,,16,may,3,-1,0,,2021-12-04 12:53:41,2021-12-04 13:02:59,0,558.0,12,53
1702,1703,33,management,married,tertiary,0,812,0,0,cellular,22,dec,1,-1,0,,2021-12-04 11:50:08,2021-12-04 11:56:44,0,396.0,11,50
1616,1617,32,technician,single,secondary,0,674,1,1,cellular,15,apr,1,316,3,failure,2021-12-04 09:44:00,2021-12-04 09:46:49,0,169.0,9,44
1866,1867,57,management,married,secondary,0,1026,1,0,,13,may,2,-1,0,,2021-12-04 10:48:26,2021-12-04 10:49:18,0,52.0,10,48
945,946,32,services,single,secondary,0,-55,1,0,cellular,15,apr,1,-1,0,,2021-12-04 16:46:13,2021-12-04 16:56:14,0,601.0,16,46
876,877,54,management,single,tertiary,0,3294,1,0,cellular,25,jul,5,-1,0,,2021-12-04 10:25:57,2021-12-04 10:28:09,0,132.0,10,25
2207,2208,53,self-employed,divorced,tertiary,1,10,0,0,cellular,20,nov,3,-1,0,,2021-12-04 13:27:46,2021-12-04 13:29:01,0,75.0,13,27
2314,2315,35,management,married,tertiary,0,178,0,0,cellular,14,aug,2,-1,0,,2021-12-04 13:06:44,2021-12-04 13:08:00,0,76.0,13,6
1063,1064,57,management,divorced,tertiary,0,6468,1,0,cellular,31,mar,4,-1,0,,2021-12-04 15:41:04,2021-12-04 15:52:28,0,684.0,15,41
2164,2165,36,services,divorced,secondary,0,532,1,0,cellular,29,jan,1,241,1,failure,2021-12-04 12:15:33,2021-12-04 12:22:04,0,391.0,12,15
2913,2914,39,blue-collar,single,primary,0,1522,0,0,,17,jun,4,-1,0,,2021-12-04 12:13:18,2021-12-04 12:16:02,0,164.0,12,13
1808,1809,37,technician,married,secondary,0,1109,1,0,cellular,12,may,1,354,5,failure,2021-12-04 12:31:19,2021-12-04 12:32:21,0,62.00000000000001,12,31
457,458,42,management,married,tertiary,0,36,0,0,cellular,21,nov,3,-1,0,,2021-12-04 11:38:43,2021-12-04 11:49:47,1,664.0,11,38
2249,2250,37,management,married,tertiary,0,1113,0,0,cellular,2,mar,1,182,1,success,2021-12-04 15:28:50,2021-12-04 15:32:39,1,229.00000000000003,15,28
842,843,48,blue-collar,married,primary,0,-460,0,0,cellular,23,jul,1,-1,0,,2021-12-04 13:54:39,2021-12-04 13:56:54,0,135.0,13,54
2736,2737,58,retired,married,tertiary,0,2577,1,1,,15,may,3,-1,0,,2021-12-04 14:00:28,2021-12-04 14:05:18,0,290.0,14,0
594,595,36,management,single,tertiary,0,6450,1,0,,29,may,1,-1,0,,2021-12-04 17:44:27,2021-12-04 17:46:08,0,101.0,17,44
2150,2151,60,blue-collar,married,secondary,0,272,0,0,cellular,2,feb,1,-1,0,,2021-12-04 11:14:39,2021-12-04 11:21:40,0,421.0,11,14
2970,2971,38,services,married,secondary,0,208,1,0,,7,may,1,-1,0,,2021-12-04 10:50:14,2021-12-04 11:03:34,0,800.0,10,50
3249,3250,34,blue-collar,married,tertiary,0,748,1,1,cellular,6,may,1,-1,0,,2021-12-04 16:54:55,2021-12-04 16:57:36,0,161.0,16,54
114,115,33,admin.,married,tertiary,0,899,1,0,,26,may,3,-1,0,,2021-12-04 13:13:32,2021-12-04 13:16:11,0,159.0,13,13
2975,2976,30,admin.,married,secondary,0,8781,1,0,cellular,18,nov,1,-1,0,,2021-12-04 13:50:45,2021-12-04 14:05:43,1,898.0,13,50
3552,3553,48,services,married,secondary,0,6127,1,0,,15,may,1,-1,0,,2021-12-04 17:06:13,2021-12-04 17:07:50,0,97.0,17,6
1678,1679,34,admin.,married,tertiary,0,0,0,0,cellular,30,jul,1,183,2,success,2021-12-04 15:53:37,2021-12-04 15:58:29,1,292.0,15,53
73,74,39,blue-collar,married,secondary,0,0,1,0,,29,may,3,-1,0,,2021-12-04 13:50:30,2021-12-04 13:53:59,0,209.0,13,50
3356,3357,41,technician,married,secondary,0,352,1,0,cellular,18,nov,2,-1,0,,2021-12-04 12:09:16,2021-12-04 12:11:25,0,129.0,12,9
988,989,26,services,single,secondary,0,127,1,1,cellular,23,jul,3,-1,0,,2021-12-04 11:18:31,2021-12-04 11:19:56,0,85.0,11,18
3024,3025,39,management,married,secondary,0,215,0,0,cellular,11,aug,4,-1,0,,2021-12-04 17:50:39,2021-12-04 18:09:40,1,1141.0,17,50
1351,1352,40,technician,married,secondary,0,2266,0,0,cellular,16,oct,1,147,5,failure,2021-12-04 09:23:21,2021-12-04 09:30:48,1,447.0,9,23
1334,1335,60,admin.,divorced,secondary,0,-41,1,1,cellular,6,feb,1,262,1,failure,2021-12-04 14:59:37,2021-12-04 15:27:15,1,1658.0,14,59
946,947,49,management,married,tertiary,0,403,0,0,cellular,31,jul,2,-1,0,,2021-12-04 13:00:07,2021-12-04 13:04:22,0,255.00000000000003,13,0
1408,1409,59,technician,married,tertiary,0,-91,0,0,,25,jun,1,-1,0,,2021-12-04 14:26:19,2021-12-04 14:28:56,0,157.0,14,26
1037,1038,36,self-employed,single,tertiary,0,1240,0,0,cellular,31,jul,3,-1,0,,2021-12-04 15:49:38,2021-12-04 16:03:10,1,812.0,15,49
948,949,53,retired,married,secondary,0,-686,0,1,,2,jun,3,-1,0,,2021-12-04 17:02:23,2021-12-04 17:06:38,0,255.00000000000003,17,2
2850,2851,38,blue-collar,married,primary,0,190,1,0,telephone,19,nov,1,175,1,other,2021-12-04 09:15:53,2021-12-04 09:26:16,1,623.0,9,15
3087,3088,58,management,married,tertiary,0,361,0,0,cellular,14,aug,2,-1,0,,2021-12-04 09:53:57,2021-12-04 10:02:20,0,503.00000000000006,9,53
853,854,30,technician,married,secondary,0,776,0,0,cellular,30,apr,2,-1,0,,2021-12-04 11:14:17,2021-12-04 11:28:38,1,861.0,11,14
1952,1953,52,blue-collar,married,tertiary,0,297,1,0,,7,may,1,-1,0,,2021-12-04 16:48:47,2021-12-04 16:49:42,0,55.0,16,48
2108,2109,42,admin.,divorced,secondary,0,527,0,1,cellular,22,oct,1,185,1,success,2021-12-04 15:32:40,2021-12-04 15:35:41,1,181.0,15,32
2141,2142,27,services,married,secondary,0,0,1,0,cellular,17,jul,5,-1,0,,2021-12-04 14:26:27,2021-12-04 14:42:58,1,991.0000000000001,14,26
421,422,32,management,single,tertiary,0,2551,1,0,cellular,21,jul,3,-1,0,,2021-12-04 15:16:01,2021-12-04 15:26:39,1,638.0,15,16
3014,3015,38,management,single,tertiary,0,3141,0,0,cellular,9,nov,4,189,2,success,2021-12-04 12:23:56,2021-12-04 12:29:43,1,347.0,12,23
1082,1083,33,entrepreneur,married,secondary,0,-122,0,0,cellular,24,jul,5,-1,0,,2021-12-04 12:09:34,2021-12-04 12:11:37,0,123.00000000000001,12,9
3744,3745,48,management,married,,0,598,0,0,,9,jun,2,-1,0,,2021-12-04 15:57:33,2021-12-04 16:00:05,0,152.0,15,57
1443,1444,50,technician,married,secondary,0,1234,1,0,,5,may,2,-1,0,,2021-12-04 14:27:32,2021-12-04 14:30:57,0,205.0,14,27
2667,2668,43,blue-collar,married,secondary,0,2160,0,0,cellular,8,sep,1,98,1,success,2021-12-04 14:16:01,2021-12-04 14:20:22,1,261.0,14,16
1172,1173,46,management,married,tertiary,0,273,1,0,cellular,15,sep,1,105,3,failure,2021-12-04 09:26:17,2021-12-04 09:58:59,1,1962.0000000000002,9,26
3143,3144,66,retired,married,tertiary,0,1948,0,0,cellular,28,jan,1,91,4,success,2021-12-04 11:11:52,2021-12-04 11:15:28,1,216.0,11,11
24,25,60,technician,married,secondary,0,824,1,0,cellular,9,feb,1,558,7,other,2021-12-04 16:30:52,2021-12-04 16:32:59,1,127.00000000000001,16,30
2858,2859,40,technician,married,secondary,0,42,0,0,cellular,13,aug,2,-1,0,,2021-12-04 13:53:45,2021-12-04 14:24:27,1,1842.0000000000002,13,53
2625,2626,39,self-employed,divorced,secondary,0,0,1,0,,23,may,2,-1,0,,2021-12-04 16:22:17,2021-12-04 16:25:47,0,210.0,16,22
3246,3247,29,services,single,secondary,0,184,0,0,cellular,14,jul,3,-1,0,,2021-12-04 10:18:44,2021-12-04 10:19:30,0,46.0,10,18
3905,3906,55,technician,married,secondary,0,10185,0,0,cellular,11,aug,1,180,4,success,2021-12-04 17:53:12,2021-12-04 17:57:20,0,248.00000000000003,17,53
1360,1361,61,management,married,tertiary,0,267,0,0,cellular,21,oct,3,184,1,success,2021-12-04 09:38:35,2021-12-04 09:41:47,1,192.0,9,38
900,901,34,blue-collar,married,secondary,0,-436,1,0,,26,may,1,-1,0,,2021-12-04 09:47:15,2021-12-04 09:52:32,0,317.0,9,47
380,381,40,technician,divorced,secondary,0,93,0,0,cellular,2,feb,2,-1,0,,2021-12-04 11:26:36,2021-12-04 11:28:39,0,123.00000000000001,11,26
1414,1415,53,self-employed,married,tertiary,0,235,0,0,,18,jun,3,-1,0,,2021-12-04 13:39:52,2021-12-04 13:41:44,0,112.0,13,39
2451,2452,35,admin.,divorced,secondary,0,1224,1,0,cellular,3,nov,1,-1,0,,2021-12-04 15:15:38,2021-12-04 15:18:45,1,187.0,15,15
1062,1063,34,blue-collar,married,primary,0,3527,1,0,cellular,21,nov,1,-1,0,,2021-12-04 11:07:23,2021-12-04 11:24:25,1,1022.0000000000001,11,7
3997,3998,27,admin.,single,secondary,0,-400,0,1,cellular,8,jul,1,-1,0,,2021-12-04 12:19:03,2021-12-04 12:23:53,0,290.0,12,19
2147,2148,47,technician,divorced,secondary,0,5735,0,0,,19,jun,4,-1,0,,2021-12-04 17:59:51,2021-12-04 18:04:33,0,282.0,17,59
3092,3093,27,services,single,secondary,0,302,0,0,cellular,8,jan,1,189,1,success,2021-12-04 12:32:29,2021-12-04 12:35:00,0,151.0,12,32
3370,3371,61,management,married,tertiary,0,997,0,0,cellular,10,mar,1,-1,0,,2021-12-04 12:21:47,2021-12-04 12:23:33,1,106.0,12,21
1043,1044,37,blue-collar,married,primary,0,655,1,0,cellular,5,feb,2,258,4,failure,2021-12-04 14:23:53,2021-12-04 14:26:00,0,127.00000000000001,14,23
717,718,26,technician,single,secondary,0,668,1,0,,28,may,3,-1,0,,2021-12-04 15:10:25,2021-12-04 15:20:01,1,576.0,15,10
1421,1422,25,technician,single,tertiary,0,3630,0,0,telephone,9,jun,7,-1,0,,2021-12-04 10:44:26,2021-12-04 10:48:07,1,221.0,10,44
2512,2513,45,blue-collar,married,primary,0,1291,1,0,cellular,28,aug,17,-1,0,,2021-12-04 09:52:21,2021-12-04 09:55:30,0,189.0,9,52
3218,3219,35,management,married,tertiary,0,3168,0,0,cellular,22,aug,30,-1,0,,2021-12-04 12:20:00,2021-12-04 12:20:24,0,24.0,12,20
1604,1605,36,blue-collar,single,primary,0,3214,1,0,,16,jun,2,-1,0,,2021-12-04 17:45:35,2021-12-04 17:47:39,0,124.00000000000001,17,45
1034,1035,49,technician,divorced,tertiary,0,1807,1,0,cellular,12,mar,1,-1,0,,2021-12-04 15:11:11,2021-12-04 15:15:00,1,229.00000000000003,15,11
2594,2595,30,technician,married,secondary,0,455,1,0,cellular,21,nov,1,-1,0,,2021-12-04 12:22:22,2021-12-04 12:35:00,1,758.0,12,22
3409,3410,75,retired,married,secondary,0,1470,0,0,telephone,27,feb,1,-1,0,,2021-12-04 12:09:39,2021-12-04 12:10:28,0,49.0,12,9
1982,1983,26,blue-collar,married,primary,0,-219,1,1,,15,may,5,-1,0,,2021-12-04 14:11:17,2021-12-04 14:16:28,0,311.0,14,11
2226,2227,45,technician,married,secondary,0,3007,0,0,,11,jun,1,-1,0,,2021-12-04 16:16:33,2021-12-04 16:23:55,0,442.0,16,16
269,270,61,blue-collar,married,primary,0,5,0,0,cellular,6,aug,2,94,3,success,2021-12-04 13:54:28,2021-12-04 14:03:50,1,562.0,13,54
297,298,25,self-employed,single,tertiary,0,42,1,0,cellular,5,jun,1,94,1,success,2021-12-04 14:50:37,2021-12-04 14:53:06,1,149.0,14,50
2327,2328,58,self-employed,married,tertiary,0,-364,1,0,,5,may,1,-1,0,,2021-12-04 16:17:27,2021-12-04 16:23:22,0,355.0,16,17
2351,2352,38,blue-collar,single,primary,0,522,1,0,,2,jun,1,-1,0,,2021-12-04 14:09:37,2021-12-04 14:12:13,0,156.0,14,9
2231,2232,32,technician,single,tertiary,0,705,1,0,cellular,25,may,2,35,4,failure,2021-12-04 14:47:26,2021-12-04 14:54:20,1,414.0,14,47
365,366,40,services,married,,0,0,0,0,cellular,31,jul,34,-1,0,,2021-12-04 09:59:46,2021-12-04 10:00:52,0,66.0,9,59
168,169,28,management,single,secondary,0,2840,0,0,cellular,20,apr,5,-1,0,,2021-12-04 10:14:42,2021-12-04 10:18:29,1,227.0,10,14
1489,1490,39,technician,single,tertiary,0,54,1,0,cellular,29,jul,12,-1,0,,2021-12-04 13:35:47,2021-12-04 13:37:26,0,99.0,13,35
1722,1723,30,services,married,secondary,0,637,1,0,cellular,15,may,5,-1,0,,2021-12-04 16:49:08,2021-12-04 16:50:17,0,69.0,16,49
39,40,35,admin.,married,secondary,0,216,1,1,cellular,17,nov,3,-1,0,,2021-12-04 15:33:58,2021-12-04 15:35:08,0,70.0,15,33
3877,3878,45,admin.,married,secondary,0,149,1,0,,23,may,3,-1,0,,2021-12-04 16:28:12,2021-12-04 16:43:05,1,893.0,16,28
1787,1788,36,services,single,secondary,0,62,1,0,,5,may,2,-1,0,,2021-12-04 15:29:34,2021-12-04 15:33:09,0,215.0,15,29
2471,2472,67,retired,married,secondary,0,1146,0,0,cellular,13,nov,1,92,2,failure,2021-12-04 11:06:08,2021-12-04 11:10:27,1,259.0,11,6
2591,2592,60,housemaid,married,secondary,0,5,0,0,cellular,14,aug,5,-1,0,,2021-12-04 13:37:56,2021-12-04 13:45:09,0,433.0,13,37
2623,2624,32,management,married,secondary,0,0,0,0,cellular,20,aug,4,-1,0,,2021-12-04 12:25:04,2021-12-04 12:27:46,0,162.0,12,25
3620,3621,81,retired,married,primary,0,0,0,0,telephone,11,aug,1,-1,0,,2021-12-04 12:08:28,2021-12-04 12:11:46,0,198.0,12,8
1645,1646,41,technician,married,secondary,0,862,0,0,cellular,18,nov,2,-1,0,,2021-12-04 15:49:41,2021-12-04 15:57:35,0,474.00000000000006,15,49
1561,1562,31,technician,single,secondary,0,2544,0,0,cellular,12,jan,1,279,2,success,2021-12-04 12:02:17,2021-12-04 12:06:06,1,229.00000000000003,12,2
362,363,50,blue-collar,married,primary,0,180,1,0,cellular,16,apr,2,-1,0,,2021-12-04 10:54:28,2021-12-04 10:56:13,0,105.0,10,54
1323,1324,33,self-employed,single,tertiary,0,61,0,0,cellular,19,aug,3,-1,0,,2021-12-04 15:10:19,2021-12-04 15:24:15,1,836.0,15,10
1484,1485,32,technician,single,secondary,0,930,1,0,,21,may,1,-1,0,,2021-12-04 15:55:28,2021-12-04 15:57:30,0,122.00000000000001,15,55
3434,3435,32,technician,married,tertiary,0,168,0,0,,27,may,1,-1,0,,2021-12-04 11:50:58,2021-12-04 11:52:24,0,86.0,11,50
1642,1643,46,housemaid,married,secondary,0,271,1,0,cellular,30,jul,29,-1,0,,2021-12-04 11:07:22,2021-12-04 11:24:15,1,1013.0000000000001,11,7
56,57,31,admin.,married,secondary,0,457,1,0,cellular,21,nov,1,171,5,failure,2021-12-04 14:28:33,2021-12-04 14:33:16,0,283.0,14,28
2877,2878,44,technician,married,secondary,0,398,1,0,,28,may,5,-1,0,,2021-12-04 12:46:17,2021-12-04 12:48:37,0,140.0,12,46
2698,2699,57,admin.,married,primary,0,389,0,0,cellular,9,jul,2,-1,0,,2021-12-04 15:18:44,2021-12-04 15:20:32,0,108.0,15,18
2609,2610,35,unemployed,married,secondary,0,977,1,0,cellular,4,may,4,91,1,other,2021-12-04 16:13:50,2021-12-04 16:14:42,0,52.0,16,13
2752,2753,31,admin.,single,secondary,0,8626,0,0,cellular,25,may,1,111,1,failure,2021-12-04 14:48:09,2021-12-04 14:50:48,0,159.0,14,48
1361,1362,41,blue-collar,single,secondary,1,1085,1,1,cellular,7,jul,1,-1,0,,2021-12-04 12:57:22,2021-12-04 13:07:21,1,599.0,12,57
432,433,45,admin.,married,secondary,0,0,0,1,telephone,15,jul,3,-1,0,,2021-12-04 13:28:12,2021-12-04 13:37:05,1,533.0,13,28
3029,3030,25,student,single,secondary,0,331,0,0,telephone,26,aug,4,-1,0,,2021-12-04 17:12:14,2021-12-04 17:15:04,1,170.0,17,12
859,860,34,admin.,single,secondary,0,151,1,0,cellular,12,may,1,370,1,other,2021-12-04 17:55:55,2021-12-04 18:05:45,1,590.0,17,55
2118,2119,26,blue-collar,married,secondary,0,246,1,0,,16,may,3,-1,0,,2021-12-04 09:25:07,2021-12-04 09:44:10,1,1143.0,9,25
64,65,36,services,single,secondary,0,0,1,0,cellular,15,may,4,-1,0,,2021-12-04 09:43:23,2021-12-04 10:00:05,1,1002.0000000000001,9,43
581,582,68,retired,married,tertiary,0,2812,0,0,cellular,4,aug,1,1,7,success,2021-12-04 12:23:41,2021-12-04 12:34:32,1,651.0,12,23
662,663,47,management,married,tertiary,0,109,1,0,cellular,16,apr,2,268,1,failure,2021-12-04 10:43:25,2021-12-04 10:44:56,0,91.0,10,43
2482,2483,27,admin.,married,secondary,0,1595,0,0,cellular,29,dec,2,197,2,success,2021-12-04 16:59:42,2021-12-04 17:02:58,1,196.0,16,59
242,243,57,technician,married,secondary,0,1070,0,0,,19,jun,1,-1,0,,2021-12-04 17:18:00,2021-12-04 17:19:13,0,73.0,17,18
2998,2999,44,blue-collar,divorced,secondary,0,-1,0,1,cellular,15,jul,5,-1,0,,2021-12-04 09:56:56,2021-12-04 10:00:10,0,194.0,9,56
1718,1719,53,entrepreneur,single,secondary,0,62,1,0,,30,may,5,-1,0,,2021-12-04 17:29:09,2021-12-04 17:46:33,1,1044.0,17,29
1780,1781,33,management,married,tertiary,0,0,1,0,cellular,9,jul,1,-1,0,,2021-12-04 12:53:18,2021-12-04 12:58:28,0,310.0,12,53
3715,3716,39,blue-collar,married,primary,0,70,0,0,,8,may,1,-1,0,,2021-12-04 16:25:16,2021-12-04 16:38:49,1,813.0,16,25
982,983,33,services,married,secondary,0,386,0,0,cellular,12,may,1,181,5,success,2021-12-04 12:20:53,2021-12-04 12:26:10,1,317.0,12,20
1553,1554,32,entrepreneur,married,secondary,0,390,0,0,cellular,6,sep,1,280,1,failure,2021-12-04 15:13:28,2021-12-04 15:20:48,1,440.0,15,13
3667,3668,44,technician,married,secondary,0,135,1,0,cellular,8,may,3,-1,0,,2021-12-04 14:15:17,2021-12-04 14:19:39,0,262.0,14,15
3635,3636,33,management,married,secondary,0,333,0,0,cellular,28,aug,6,-1,0,,2021-12-04 10:24:10,2021-12-04 10:25:30,0,80.0,10,24
1500,1501,45,management,married,tertiary,0,80,0,1,cellular,19,nov,1,-1,0,,2021-12-04 14:10:09,2021-12-04 14:12:46,0,157.0,14,10
2124,2125,32,blue-collar,married,primary,0,274,1,0,,9,may,3,-1,0,,2021-12-04 11:43:54,2021-12-04 11:44:15,0,21.0,11,43
1181,1182,27,admin.,married,secondary,0,897,0,0,cellular,5,jun,1,-1,0,,2021-12-04 10:51:08,2021-12-04 10:57:45,1,397.0,10,51
1077,1078,59,management,married,tertiary,0,3342,0,0,cellular,18,mar,2,188,6,other,2021-12-04 12:40:55,2021-12-04 12:48:42,1,467.00000000000006,12,40
1827,1828,49,services,single,secondary,0,1884,1,0,cellular,8,may,1,-1,0,,2021-12-04 12:03:14,2021-12-04 12:03:57,0,43.0,12,3
3932,3933,26,management,single,tertiary,0,199,1,0,cellular,7,may,1,-1,0,,2021-12-04 09:06:43,2021-12-04 09:13:36,0,413.0,9,6
882,883,46,technician,married,secondary,0,499,1,0,cellular,31,jul,10,-1,0,,2021-12-04 14:44:43,2021-12-04 14:45:20,0,37.0,14,44
462,463,39,management,single,tertiary,0,202,1,0,cellular,12,may,1,301,1,other,2021-12-04 17:20:42,2021-12-04 17:21:41,0,59.00000000000001,17,20
2607,2608,46,blue-collar,married,secondary,0,922,0,1,cellular,14,jul,2,-1,0,,2021-12-04 14:29:32,2021-12-04 14:32:03,0,151.0,14,29
2020,2021,26,management,single,tertiary,0,362,0,0,cellular,15,sep,1,104,2,success,2021-12-04 16:42:15,2021-12-04 16:57:40,1,925.0000000000001,16,42
2876,2877,36,admin.,single,tertiary,0,635,0,0,cellular,13,feb,1,-1,0,,2021-12-04 14:34:22,2021-12-04 14:35:18,0,56.0,14,34
285,286,60,retired,divorced,secondary,0,514,0,0,cellular,15,oct,2,213,10,success,2021-12-04 10:10:01,2021-12-04 10:13:08,1,187.0,10,10
1900,1901,57,management,divorced,tertiary,0,429,1,0,cellular,17,jul,1,-1,0,,2021-12-04 16:30:10,2021-12-04 16:34:15,0,245.00000000000003,16,30
289,290,39,entrepreneur,married,tertiary,0,0,0,0,cellular,31,jul,3,-1,0,,2021-12-04 15:25:23,2021-12-04 15:26:33,0,70.0,15,25
2762,2763,59,management,married,primary,0,1727,0,0,telephone,25,may,4,358,2,failure,2021-12-04 10:40:15,2021-12-04 10:48:35,1,500.00000000000006,10,40
3948,3949,44,blue-collar,married,secondary,0,3348,0,1,cellular,24,jul,2,-1,0,,2021-12-04 10:36:43,2021-12-04 10:45:07,0,504.00000000000006,10,36
